あいす,アイス
あ,ア
あいこん,アイコン
あ,亜
あ,阿
ああ,嗚呼
あい,愛
あい,藍
あい,i
あい,哀
あいあいがさ,相合傘
あいいろ,藍色
あう,会う
あいたい,会いたい
あう,合う
あう,遭う
あう,逢う
あえ,和え
あお,青
あお,蒼
あお,碧
あお,靑
あお,アオ
あか,赤
あか,垢
あか,朱
あき,秋
あけ,明け
あかうんと,アカウント
あきあかね,秋赤音
あさがえり,朝帰り
あはたいけん,アハ体験
あひじょ,アヒージョ
あふりか,アフリカ
あり,蟻
あり,有り
あるていど,ある程度
あるごりずむ,アルゴリズム
あるごりずむずかん,アルゴリズム図鑑
あんどろめだ,アンドロメダ
あんどろいど,アンドロイド
あらさー,アラサー
ありがとう,ありがちゅ
あさ,朝
あさい,浅い
あさせ,浅瀬
あしんめとり,アシンメトリー
あし,足
あし,脚
あし,葦
あす,明日
あさって,明後日
あさいめんと,アサイメント
あせ,汗
あせくさい,汗臭い
あせ,（汗）
あせる,焦る
あき,飽き
あせも,汗疹
あそ,阿蘇
あたらしい,新しい
あたい,値
あたえる,与える
あたっく,アタック
あた,あたし
あとりあ,あとりあくん
あああ,あああああッ
あね,姉
あひゃ,あひゃひゃひゃ
あおい,青い
あおいろ,青色
あつい,暑い
あつ,圧
あと,後
あと,跡
あと,痕
あとりえ,アトリエ
あとむ,アトム
あとらくしょん,アトラクション
あとれ,アトレ
あとおし,後押し
あとみ,跡見
あともどり,後戻り
あつるはいま,アルツハイマー
あつらえ,誂え
あつき,熱き
あつこ,敦子
あつさ,暑さ
あつさ,熱さ
あつみ,厚み
あたみ,熱海
あたみおんせん,熱海温泉
あかり,明かり
あかるい,明るい
あかいろ,赤色
あかく,赤く
あけくれる,明け暮れる
あな,穴
あなご,穴子
あれいりすと,アレイリスト
あに,兄
あなうんさ,アナウンサー
あなうんす,アナウンス
あなこんだ,アナコンダ
あの,あのちゃん
あいるらんど,アイルランド
あいち,愛知
あらい,荒井
あらい,洗い
あらい,荒い
あらい,粗い
あらい,新井
あられ,アラレちゃん
あろは,アロハ
あわ,泡
あわ,あわあわくん
あん,案
あみ,編み
あまい,甘い
あめ,雨
あめ,飴
あまおと,雨音
あみめ,網目
あにめ,アニメ
あほ,アホ
あく,悪
あくま,悪魔
あるばむ,アルバム
あるく,歩く
