う,ウ
うえ,上
うかい,迂回
うか,羽化
うき,浮き
ういてる,浮いてる
うけ,受け
うけつけ,受付
うけこたえ,受け答え
うこん,ウコン
うえすと,ウエスト
うさばらし,憂さ晴らし
うし,牛
うしみつどき,丑三つ刻
うすい,薄い
うすさ,薄さ
うせる,失せる
うそ,嘘
うそつき,嘘つき
うた,歌
うち,家
うちわ,内輪
うちわ,団扇
うつ,鬱
うつ,打つ
うつ,撃つ
うつ,討つ
うとうと,ウトウト
うなぎ,鰻
うに,雲丹
うの,UNO
うほほ,ウホホ
うほ,ウホッ
うま,馬
うまい,美味い
うまい,上手い
うまみ,旨味
うみ,海
うみみず,海水
うみ,海未
うめ,梅
うめしゅ,梅酒
うめじゅす,梅ジュース
うむ,有無
うもう,羽毛
うもう,生もう
うがんだ,ウガンダ
うぐいす,鶯
うごく,動く
うざい,ウザい
うじ,宇治
うぞうむぞう,有象無象
うず,渦
うずしお,渦潮
うちゅう,うちゅう
うちゅうじん,宇宙人
うさぎ,ウサギ
うさぎ,兎
うさみみ,ウサ耳
うふふ,うふふ
うわさ,噂
うら,裏
うり,売り
うる,売る
うりこ,売り子
うらしゅ,うらしゅー
うれ,売れ
うっぷん,鬱憤
うで,腕

