お,オ
おいる,オイル
おう,王
おうめ,青梅
おうしょう,王将
おしり,お尻
おわり,終わり
おまえ,お前
おしまい,お終い
おかえり,おかえり
おかあさん,お母さん
おとうさん,お父さん
おめでとうございます,おめでとうございます
おめでとう,おめでとう
おちゃ,お茶
おいおちゃ,お～いお茶
おちんちん,肉棒
おれんじ,オレンジ
おばま,オバマ
おだいば,お台場
おくすり,お薬
おこる,怒る
おこしてよ,起こしてよ
おじさん,オジサン
おく,奥
おけ,桶
おしるこ,お汁粉
おきた,起きた
おきない,起きない
おせ,押せ
おす,osu!
おし,推し
おたく,オタク
おちる,落ちる
おちた,落ちた
おとし,落とし
おつかれさま,お疲れ様
おこづかい,お小遣い
おとしあな,落とし穴
おとす,落とす
おに,鬼
おなか,お腹
おにぎり,おにぎり
おねえちゃん,お姉ちゃん
おのおの,各々
おの,斧
おはよう,おはよう
おはすた,おはスタ
おは,おっはー
おひがん,お彼岸
おひなさま,お雛様
おとのさま,お殿様
おふろ,お風呂
おふくろ,おふくろ
おほつく,オホーツク
おみそしる,お味噌汁
おっぱい,おっぱい
おび,帯
おむらいす,オムライス
おこめ,お米
おふとん,お布団
おてあらい,お手洗い
おめでとう,おめでとうございます
おめしす,おめシス
おもい,思い
おもい,重い
おもい,想い
おや,親
おやゆび,親指
おゆ,お湯
およよ,およよ？
おわりません,終わりません
おんせん,温泉
おだし,お出汁
おどる,踊る
おだちん,お駄賃
おぶじぇくとしこう,オブジェクト指向
おぶじぇくと,オブジェクト
おぼえる,覚える
おぶ,オブ
おべんきょう,お勉強
おぼれる,溺れる
おんなのこ,女の子
おとこのこ,男の子
おとこのこ,男の娘
おとな,大人
おとなり,お隣
おしえて,教えて
おしえる,教える
おいかける,追いかける
おもいで,思い出
おもいだす,思い出す


