か,カ
かい,会
かい,貝
かい,階
かう,買う
かう,飼う
かうんと,カウント
かいがら,貝殻
かえる,帰る
かえうた,替え歌
かえる,変える
かえる,カエル
かえりみち,帰り道
かお,顔
かおる,香る
かおる,薫
かき,下記
かき,柿
かき,牡蠣
かき,夏季
かき,夏期
かく,書く
かく,描く
かく,各
かく,核
かく,角
かく,格
かくしん,革新
かくしん,確信
かくしん,核心
かくさん,拡散
かくせい,覚醒
かくせいざい,覚せい剤
かけ,掛け
かけこみじょうしゃ,駆け込み乗車
かけこみでら,駆け込み寺
かこ,過去
かこい,囲い
かさ,傘
かし,歌詞
かす,カス
かしん,過信
かすみ,霞
かすむ,霞む
かしみあ,カシミア
かせん,下線
かせつ,仮設
かせつ,仮説
かそ,過疎
かそく,加速
かそう,かそう
かそう,仮想
かそう,火葬
かそう,下層
かそうげんじつ,仮想現実
かた,型
かたち,形
かたみち,片道
かたみちきっぷ,片道切符
かたむき,傾き
かたまり,塊
かたつむり,カタツムリ
かたつむり,かたつ～～～ムリ～
かたみ,形見
かたるしす,カタルシス
かち,勝ち
かち,価値
かちかく,勝ち確
かくてい,確定
かくじつ,確実
かくじつ,確実性
かちもうす,勝ち申す
かのう,可能
かぜ,風
かんじ,感じ
かんじ,漢字
かいしゃ,会社
かんけい,関係
かいけん,会見
